Date,AAPL,GOOG,IBM,MSFT,QCOM
2000-01-03,26.9,,96.6,42.59,77.19
2000-01-04,24.63,,93.32,41.15,69.77
2000-01-05,24.99,,96.6,41.58,67.35
2000-01-06,22.83,,94.93,40.19,60.3
2000-01-07,23.91,,94.52,40.72,64.57
2000-01-10,23.49,,98.26,41.01,68.61
2000-01-11,22.29,,99.1,39.96,62.18
2000-01-12,20.95,,99.51,38.66,59.52
2000-01-13,23.25,,98.47,39.39,61.62
2000-01-14,24.13,,99.61,41.01,60.46
2000-01-18,24.98,,96.39,42.13,59.87
2000-01-19,25.61,,99.51,39.1,63.12
2000-01-20,27.27,,99.1,38.73,67.0
2000-01-21,26.75,,101.18,37.91,66.7
2000-01-24,25.53,,101.18,37.0,60.3
2000-01-25,26.97,,99.2,37.57,64.14
2000-01-26,26.48,,97.22,36.31,53.65
2000-01-27,26.43,,94.52,36.08,51.66
2000-01-28,24.42,,92.9,35.9,47.6
2000-01-31,24.93,,93.47,35.76,54.67
2000-02-01,24.09,,91.6,37.61,58.57
2000-02-02,23.74,,94.52,36.83,61.16
2000-02-03,24.82,,97.53,37.86,59.92
2000-02-04,25.95,,96.28,38.94,59.17
2000-02-07,27.41,,95.03,38.96,57.44
2000-02-08,27.6,,99.04,40.17,59.87
2000-02-09,27.06,,97.84,38.0,57.39
2000-02-10,27.27,,99.3,38.73,58.95
2000-02-11,26.13,,96.17,36.52,56.83
2000-02-14,27.83,,96.75,36.4,54.73
2000-02-15,28.59,,97.63,36.01,54.51
2000-02-16,27.42,,96.49,35.67,52.47
2000-02-17,27.6,,97.32,36.4,55.96
2000-02-18,26.73,,93.78,34.73,57.9
2000-02-22,27.35,,92.53,34.28,56.21
2000-02-23,27.93,,90.66,34.44,
2000-02-24,27.68,,92.11,34.62,60.14
2000-02-25,26.52,,90.03,33.36,57.5
2000-02-28,27.21,,87.11,33.45,61.67
2000-02-29,27.54,,85.65,32.65,61.32
2000-03-01,31.31,,83.57,33.18,59.84
2000-03-02,29.32,,85.96,34.12,56.91
2000-03-03,30.76,,90.03,35.12,56.77
